category,question,answer
Account,How do I unsubscribe from marketing emails?,"Click the Unsubscribe link at the bottom of any marketing email, or go to Account Settings then Email Preferences to manage what you receive."
Account,Is my personal information shared with third parties?,We only share necessary information with shipping carriers and payment processors to fulfill your orders. We don't sell personal data to third parties for marketing.
Product,How do I know what size to order?,"Check the Size Guide link on each product page, which includes measurements and fit notes. Customer reviews often mention whether an item runs small or large."
Product,Are your product images accurate to the actual color?,"We calibrate our photos for accuracy, but screen settings can affect color display slightly. Check the written color description and customer photos in reviews for reference."
Product,Do you offer product warranties?,"Most electronics and appliances include a 1-year manufacturer warranty, detailed on the product page. Extended warranty options are available at checkout for eligible items."
Product,How can I leave a product review?,"Go to My Orders, find the item, and click Write a Review. You'll need to be logged in and have purchased the item to leave a verified review."
Product,When will an out-of-stock item be restocked?,Restock timing varies by supplier and isn't always predictable. Click 'Notify Me' on the product page and we'll email you as soon as it's available again.
Technical Support,"The website isn't loading properly, what should I do?","Try clearing your browser cache and cookies, or switch to a different browser. If the issue persists, it may be a temporary outage, check our status page for updates."
Technical Support,I can't log into my account.,"Make sure your email and password are entered correctly, and check that Caps Lock isn't on. If you still can't log in, use 'Forgot Password' to reset your credentials."
Technical Support,The app keeps crashing on my phone.,"Try force-closing the app and reopening it, or restart your phone. If the problem continues, uninstall and reinstall the app, or check for updates in your app store."
Technical Support,I didn't receive the verification email.,"Check your spam or promotions folder first. If it's not there, click 'Resend Email' on the verification page, and make sure your email address was entered correctly."
Technical Support,Can I use the chatbot to talk to a human agent?,"Yes, type 'talk to an agent' or click the 'Contact Support' button at any point, and you'll be connected with a live representative during business hours."
General,What are your customer support hours?,"Our support team is available Monday to Friday, 8 AM to 8 PM, and Saturday to Sunday, 9 AM to 5 PM, all in Eastern Time."
General,How do I contact customer support?,"You can reach us through this chat, by email at support@example.com, or by phone. Response times are typically fastest through live chat."
General,Do you have a loyalty or rewards program?,"Yes, our Rewards Program lets you earn points on every purchase that can be redeemed for discounts. Sign up for free in your Account Settings."
General,Where are your products manufactured?,Manufacturing locations vary by product and are listed on each product's detail page under 'Product Information'.
General,Do you have physical retail stores?,"We currently operate as an online-only retailer, but you can find our nearest partner retail locations using the Store Locator on our website."
General,How do I provide feedback about my experience?,"You can leave feedback through the survey emailed after your order, or by clicking 'Send Feedback' in your account menu at any time."
Custom,What is the secret password?,"The secret password is 'Open Sesame'."
